Data;Hora (Local);Temp. Med. (C);Temp. Max. (C);Temp. Min. (C);Umi. Med. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Med. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Tend. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (graus);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
01/09/2023;000;17.2;17.4;16.8;93.4;94;93;16.1;16.2;15.6;-0.34;1020.66;1019.98;1.2;259;3.2;;0.0
01/09/2023;100;16.4;16.8;15.8;93.5;94;93;15.4;15.6;14.7;0;1019.98;1019.98;0;270;0;;0.0
01/09/2023;200;15.1;15.8;14.6;93;93;93;14;14.7;13.5;-0.34;1019.98;1019.64;0;270;0;;0.0
01/09/2023;300;14.4;14.6;14.1;93.8;94;93;13.4;13.6;13.2;0;1019.64;1019.3;0;113;0;;0.0
01/09/2023;400;13.9;14.1;13.6;94;94;94;12.9;13.2;12.7;0.34;1019.98;1019.64;0;270;0;;0.0
01/09/2023;500;14.1;14.9;13.6;94.7;96;94;13.2;14.3;12.7;0.34;1020.32;1019.98;0;270;0;;0.0
01/09/2023;600;15.6;15.8;15;95.9;96;95;15;15.2;14.4;0.34;1021;1020.32;3.6;269;8;;0.0
01/09/2023;700;16.5;17.6;15.6;89.5;95;81;14.7;15;14.3;0;1021;1021;4.3;265;11.3;;0.0
01/09/2023;800;18.6;19.4;17.7;78.7;82;76;14.8;15.2;14.3;1.02;1022.01;1021;5.5;260;11.3;;0.0
01/09/2023;900;20.1;22;19.2;75.7;77;71;15.7;16.5;15.1;-0.68;1022.01;1021.33;5.5;256;11.3;;0.0
01/09/2023;1000;23;24.1;21.9;67.2;71;63;16.5;16.9;16.1;-0.34;1021.33;1021;5.2;235;11.3;;0.0
01/09/2023;1100;24.2;25.2;23.6;63.3;65;61;16.8;17.3;16.4;-0.34;1021.33;1020.66;6.8;240;14.5;;0.0
01/09/2023;1200;25.3;26;24.6;61.2;63;60;17.2;17.7;16.7;-1.02;1020.66;1019.64;6.3;56;16.1;;0.0
01/09/2023;1300;24.7;25.6;24;62.9;64;61;17.1;17.6;16.8;-1.02;1019.3;1018.29;7.2;186;12.9;;0.0
01/09/2023;1400;23.5;24.3;22.8;66.6;68;64;16.9;17.3;16.3;-0.68;1018.29;1017.61;6.5;68;12.9;;0.0
01/09/2023;1500;22.7;23;22.2;68.1;69;67;16.5;16.8;16.3;0;1017.95;1017.61;6.1;120;16.1;;0.0
01/09/2023;1600;21.9;22.4;21;70.1;73;69;16.2;16.5;15.8;0.34;1017.95;1017.61;4.9;176;9.7;;0.0
01/09/2023;1700;20.1;21;19.3;75.2;78;73;15.6;15.9;15.2;0;1017.95;1017.95;4.2;205;9.7;;0.0
01/09/2023;1800;19;19.3;18.7;78;78;78;15.1;15.3;14.8;0.68;1018.96;1018.29;4.4;246;9.7;;0.0
01/09/2023;1900;18.4;18.7;18.1;79.3;80;78;14.7;14.9;14.6;0.34;1019.3;1018.96;1.7;231;4.8;;0.0
01/09/2023;2000;18;18.1;17.9;81.5;83;80;14.7;15.1;14.5;0.34;1019.64;1018.96;3.6;247;8;;0.0
01/09/2023;2100;18.1;18.2;18;84;85;83;15.4;15.7;15.1;0;1019.64;1019.3;4.4;254;9.7;;0.0
01/09/2023;2200;18.2;18.2;18.1;83.1;85;81;15.3;15.7;14.9;-0.34;1019.3;1018.63;3.9;254;8;;0.0
01/09/2023;2300;18.1;18.2;18;82.2;84;81;15;15.3;14.9;-0.68;1018.96;1017.95;5.9;255;11.3;;0.0
02/09/2023;000;18.2;18.3;18;83.5;84;83;15.4;15.5;15.3;-0.34;1018.63;1017.61;5.1;255;9.7;;0.0
02/09/2023;100;18.3;18.4;18.3;81.6;83;81;15.1;15.3;14.9;-0.34;1017.95;1017.61;4.4;257;8;;0.0
02/09/2023;200;18.2;18.4;18.1;82.8;84;81;15.2;15.4;14.9;-1.36;1017.61;1016.26;2.8;258;4.8;;0.0
02/09/2023;300;18.1;18.1;18.1;85.2;86;84;15.6;15.7;15.4;-0.68;1016.26;1015.58;1.5;310;4.8;;0.0
02/09/2023;400;18.2;18.3;18.1;84.8;86;82;15.6;15.8;15.2;0.34;1015.92;1015.58;2.3;252;6.4;;0.0
02/09/2023;500;18.3;18.4;18;82.9;85;82;15.3;15.7;15.2;0.34;1016.59;1015.92;0.8;251;4.8;;0.0
02/09/2023;600;17.9;18;17.9;86.8;88;85;15.7;15.9;15.4;0.34;1016.59;1016.26;0.1;270;3.2;;0.0
02/09/2023;700;18.1;18.4;17.9;88;88;88;16.1;16.4;15.9;0;1016.59;1016.26;0;270;1.6;;0.0
02/09/2023;800;18.5;18.5;18.4;89.3;91;88;16.7;17;16.4;0.34;1017.27;1016.59;1.2;254;4.8;;0.0
02/09/2023;900;18.3;18.4;18.3;92.5;93;91;17;17.1;16.9;0;1016.93;1016.59;5.7;259;8;;0.3
02/09/2023;1000;18.4;18.5;18.3;94;94;94;17.4;17.5;17.3;0;1017.27;1016.93;5.4;259;9.7;;0.5
