DATA,TMED,CHUVA
2023-01-01,nan,nan
2023-01-08,nan,nan
2023-01-15,nan,nan
2023-01-22,nan,nan
2023-01-29,nan,nan
2023-02-05,nan,nan
2023-02-12,nan,nan
2023-02-19,nan,nan
2023-02-26,nan,nan
2023-03-05,nan,nan
2023-03-12,26.056410256410256,86.6
2023-03-19,nan,nan
2023-03-26,24.887179487179484,69.3
2023-04-02,22.714285714285715,75.89999999999999
2023-04-09,23.43132530120482,47.9
2023-04-16,20.86890756302521,90.9
2023-04-23,21.553333333333335,0.0
2023-04-30,23.162937062937065,55.3
2023-05-07,21.869444444444444,10.0
2023-05-14,nan,nan
2023-05-21,21.706666666666667,9.9
2023-05-28,19.201538461538462,14.8
2023-06-04,20.625595238095237,7.4
2023-06-11,16.485714285714284,177.3
2023-06-18,15.40138888888889,20.1
2023-06-25,nan,nan
2023-07-02,22.984615384615385,0.0
2023-07-09,18.73292682926829,234.2
2023-07-16,17.375892857142855,1.3
2023-07-23,19.101785714285715,0.0
2023-07-30,19.636301369863013,0.0
2023-08-06,19.113380281690144,56.5
2023-08-13,19.437951807228913,95.39999999999998
2023-08-20,19.269871794871797,44.89999999999999
2023-08-27,17.28263473053892,5.4
2023-09-03,19.63636363636364,28.799999999999997
2023-09-10,20.575595238095236,19.4
2023-09-17,23.42797619047619,28.2
2023-09-24,20.220238095238095,92.6
2023-10-01,19.16547619047619,202.60000000000002
2023-10-08,19.25,76.2
2023-10-15,19.70810810810811,19.8
2023-10-22,21.723636363636363,87.8
2023-10-29,21.454761904761906,124.9
2023-11-05,22.48862275449102,22.299999999999997
2023-11-12,23.53154761904762,154.0
2023-11-19,23.646428571428572,29.699999999999996
2023-11-26,23.691823899371066,325.9
2023-12-03,24.931428571428572,67.39999999999999
2023-12-10,25.918055555555554,46.7
2023-12-17,27.96153846153846,75.3
2023-12-24,26.82237762237762,1.4000000000000001
